date,city,temperature,humidity,precipitation
2024-01-01,New York,13.7,68.0,0.0
2024-01-02,New York,12.1,70.0,0.0
2024-01-03,New York,14.7,65.0,0.0
2024-01-04,New York,17.6,55.0,0.0
2024-01-05,New York,12.6,69.0,0.0
2024-01-06,New York,12.8,71.0,11.3
2024-01-07,New York,18.5,64.0,4.0
2024-01-08,New York,16.4,66.0,0.0
2024-01-09,New York,12.9,79.0,0.0
2024-01-10,New York,16.2,58.0,0.0
2024-01-11,New York,13.4,71.0,0.0
2024-01-12,New York,13.7,68.0,0.0
2024-01-13,New York,16.1,73.0,0.4
2024-01-14,New York,9.8,70.0,0.0
2024-01-15,New York,10.7,68.0,0.0
2024-01-16,New York,14.4,62.0,0.0
2024-01-17,New York,13.3,57.0,0.0
2024-01-18,New York,17.5,56.0,1.2
2024-01-19,New York,14.1,62.0,0.0
2024-01-20,New York,12.8,69.0,0.0
2024-01-21,New York,21.7,52.0,0.0
2024-01-22,New York,16.9,70.0,0.0
2024-01-23,New York,18.0,63.0,0.0
2024-01-24,New York,13.7,64.0,0.0
2024-01-25,New York,16.6,56.0,0.0
2024-01-26,New York,18.8,59.0,0.0
2024-01-27,New York,15.3,57.0,0.0
2024-01-28,New York,20.1,63.0,0.0
2024-01-29,New York,17.4,65.0,0.0
2024-01-30,New York,18.5,55.0,0.0
2024-01-31,New York,17.8,50.0,0.0
2024-02-01,New York,25.4,50.0,0.0
2024-02-02,New York,20.0,53.0,0.0
2024-02-03,New York,17.1,66.0,0.0
2024-02-04,New York,23.0,40.0,0.0
2024-02-05,New York,17.0,57.0,0.0
2024-02-06,New York,21.5,51.0,0.0
2024-02-07,New York,15.2,64.0,6.5
2024-02-08,New York,17.3,57.0,0.0
2024-02-09,New York,22.1,53.0,0.0
2024-02-10,New York,23.9,41.0,0.0
2024-02-11,New York,22.4,48.0,0.0
2024-02-12,New York,21.8,51.0,0.0
2024-02-13,New York,21.4,54.0,0.0
2024-02-14,New York,18.1,61.0,0.0
2024-02-15,New York,20.5,47.0,0.0
2024-02-16,New York,21.5,43.0,0.0
2024-02-17,New York,26.2,48.0,0.0
2024-02-18,New York,24.2,47.0,0.0
2024-02-19,New York,18.1,54.0,0.0
2024-02-20,New York,24.5,53.0,0.0
2024-02-21,New York,22.5,49.0,0.0
2024-02-22,New York,21.8,56.0,0.0
2024-02-23,New York,25.9,43.0,0.0
2024-02-24,New York,27.3,50.0,0.0
2024-02-25,New York,27.1,49.0,0.0
2024-02-26,New York,21.9,49.0,0.0
2024-02-27,New York,23.7,51.0,0.0
2024-02-28,New York,25.7,46.0,0.0
2024-02-29,New York,27.8,45.0,0.0
2024-03-01,New York,23.6,42.0,0.0
2024-03-02,New York,24.6,48.0,0.0
2024-03-03,New York,21.9,55.0,0.0
2024-03-04,New York,21.8,42.0,0.0
2024-03-05,New York,27.9,32.0,0.0
2024-03-06,New York,29.7,24.0,0.0
2024-03-07,New York,25.5,42.0,0.0
2024-03-08,New York,28.8,40.0,0.0
2024-03-09,New York,27.0,48.0,0.0
2024-03-10,New York,24.1,46.0,0.0
2024-03-11,New York,27.2,48.0,0.0
2024-03-12,New York,30.8,26.0,0.0
2024-03-13,New York,26.2,33.0,0.0
2024-03-14,New York,31.0,32.0,0.0
2024-03-15,New York,18.6,59.0,0.0
2024-03-16,New York,29.0,36.0,0.0
2024-03-17,New York,26.8,30.0,0.0
2024-03-18,New York,25.7,42.0,0.0
2024-03-19,New York,26.9,34.0,0.0
2024-03-20,New York,20.8,56.0,2.0
2024-03-21,New York,26.1,44.0,0.0
2024-03-22,New York,27.9,34.0,0.0
2024-03-23,New York,31.3,29.0,0.0
2024-03-24,New York,25.3,38.0,0.0
2024-03-25,New York,24.5,45.0,0.0
2024-03-26,New York,25.4,48.0,0.0
2024-03-27,New York,29.7,30.0,0.0
2024-03-28,New York,28.0,41.0,0.0
2024-03-29,New York,25.4,41.0,0.0
2024-03-30,New York,28.5,33.0,0.0
2024-03-31,New York,27.3,39.0,0.0
2024-04-01,New York,29.9,29.0,0.0
2024-04-02,New York,24.9,41.0,0.0
2024-04-03,New York,26.0,36.0,0.0
2024-04-04,New York,25.8,52.0,0.0
2024-04-05,New York,22.6,49.0,0.0
2024-04-06,New York,27.8,35.0,0.0
2024-04-07,New York,27.7,40.0,0.0
2024-04-08,New York,26.9,40.0,0.0
2024-04-09,New York,26.1,41.0,0.0
2024-04-10,New York,22.5,52.0,0.0
2024-04-11,New York,25.5,47.0,0.0
2024-04-12,New York,25.7,40.0,0.0
2024-04-13,New York,24.2,43.0,0.0
2024-04-14,New York,26.1,40.0,0.0
2024-04-15,New York,27.7,27.0,0.0
2024-04-16,New York,32.1,22.0,0.0
2024-04-17,New York,26.9,47.0,0.0
2024-04-18,New York,27.1,48.0,0.0
2024-04-19,New York,26.0,41.0,0.0
2024-04-20,New York,20.4,56.0,0.0
2024-04-21,New York,26.0,44.0,0.0
2024-04-22,New York,26.1,57.0,0.0
2024-04-23,New York,33.3,33.0,0.0
2024-04-24,New York,25.2,43.0,0.0
2024-04-25,New York,26.6,36.0,0.0
2024-04-26,New York,25.4,35.0,0.0
2024-04-27,New York,21.9,51.0,0.0
2024-04-28,New York,28.7,33.0,0.0
2024-04-29,New York,27.5,32.0,0.0
2024-04-30,New York,27.4,36.0,0.0
2024-05-01,New York,22.2,44.0,0.0
2024-05-02,New York,29.0,44.0,0.0
2024-05-03,New York,20.5,57.0,0.0
2024-05-04,New York,26.3,41.0,0.0
2024-05-05,New York,31.0,39.0,0.0
2024-05-06,New York,21.3,52.0,0.0
2024-05-07,New York,22.4,45.0,0.0
2024-05-08,New York,24.2,53.0,0.0
2024-05-09,New York,22.3,52.0,0.0
2024-05-10,New York,19.0,51.0,0.0
2024-05-11,New York,23.7,46.0,0.0
2024-05-12,New York,20.1,49.0,0.0
2024-05-13,New York,24.5,38.0,0.0
2024-05-14,New York,20.2,58.0,0.0
2024-05-15,New York,27.4,49.0,0.0
2024-05-16,New York,20.2,47.0,0.0
2024-05-17,New York,21.4,54.0,0.0
2024-05-18,New York,24.7,41.0,0.0
2024-05-19,New York,18.3,55.0,0.0
2024-05-20,New York,22.5,46.0,0.0
2024-05-21,New York,25.6,39.0,0.0
2024-05-22,New York,16.6,61.0,0.0
2024-05-23,New York,21.8,46.0,0.0
2024-05-24,New York,21.8,52.0,0.0
2024-05-25,New York,23.2,47.0,0.0
2024-05-26,New York,16.9,59.0,0.0
2024-05-27,New York,16.4,57.0,0.0
2024-05-28,New York,21.7,48.0,0.0
2024-05-29,New York,20.9,56.0,0.0
2024-05-30,New York,20.5,56.0,0.0
2024-05-31,New York,20.6,48.0,0.0
2024-06-01,New York,17.3,60.0,0.0
2024-06-02,New York,19.8,58.0,0.0
2024-06-03,New York,19.7,46.0,0.0
2024-06-04,New York,16.5,64.0,0.0
2024-06-05,New York,24.0,43.0,0.0
2024-06-06,New York,19.6,58.0,0.0
2024-06-07,New York,14.3,62.0,0.0
2024-06-08,New York,19.6,46.0,0.0
2024-06-09,New York,14.5,57.0,18.9
2024-06-10,New York,19.5,55.0,0.0
2024-06-11,New York,20.4,54.0,0.0
2024-06-12,New York,14.2,61.0,0.0
2024-06-13,New York,19.3,59.0,0.0
2024-06-14,New York,17.4,51.0,0.0
2024-06-15,New York,18.4,57.0,0.0
2024-06-16,New York,21.4,45.0,0.0
2024-06-17,New York,14.7,61.0,0.0
2024-06-18,New York,12.9,68.0,5.5
2024-06-19,New York,12.3,65.0,0.0
2024-06-20,New York,12.2,68.0,0.0
2024-06-21,New York,14.2,71.0,0.0
2024-06-22,New York,15.2,61.0,0.0
2024-06-23,New York,14.8,69.0,0.0
2024-06-24,New York,16.2,56.0,0.0
2024-06-25,New York,13.5,70.0,3.9
2024-06-26,New York,17.5,66.0,0.0
2024-06-27,New York,12.1,57.0,0.0
2024-06-28,New York,20.8,48.0,0.0
2024-06-29,New York,14.3,68.0,0.0
2024-06-30,New York,9.6,74.0,0.0
2024-07-01,New York,8.7,79.0,0.0
2024-07-02,New York,13.1,65.0,0.0
2024-07-03,New York,10.7,73.0,0.0
2024-07-04,New York,13.2,67.0,0.0
2024-07-05,New York,12.3,75.0,1.3
2024-07-06,New York,10.4,75.0,0.0
2024-07-07,New York,7.8,80.0,0.0
2024-07-08,New York,5.5,81.0,5.5
2024-07-09,New York,8.5,75.0,0.0
2024-07-10,New York,12.1,68.0,0.0
2024-07-11,New York,9.9,76.0,2.4
2024-07-12,New York,5.3,81.0,10.0
2024-07-13,New York,9.3,77.0,0.0
2024-07-14,New York,9.7,85.0,3.3
2024-07-15,New York,5.6,87.0,0.0
2024-07-16,New York,8.5,75.0,0.0
2024-07-17,New York,8.0,84.0,0.0
2024-07-18,New York,4.1,84.0,0.0
2024-07-19,New York,8.4,67.0,0.0
2024-07-20,New York,8.7,71.0,0.0
2024-07-21,New York,10.1,65.0,0.0
2024-07-22,New York,9.7,73.0,0.0
2024-07-23,New York,2.2,90.0,8.4
2024-07-24,New York,3.3,95.0,0.0
2024-07-25,New York,7.4,81.0,0.0
2024-07-26,New York,7.2,79.0,0.0
2024-07-27,New York,6.9,84.0,0.0
2024-07-28,New York,16.7,50.0,0.0
2024-07-29,New York,6.6,82.0,0.0
2024-07-30,New York,8.1,82.0,0.0
2024-07-31,New York,7.3,72.0,0.0
2024-08-01,New York,6.2,87.0,0.0
2024-08-02,New York,3.1,90.0,0.0
2024-08-03,New York,6.1,80.0,0.0
2024-08-04,New York,1.3,95.0,2.2
2024-08-05,New York,2.7,95.0,0.0
2024-08-06,New York,1.7,91.0,0.0
2024-08-07,New York,3.2,89.0,1.5
2024-08-08,New York,9.7,72.0,0.0
2024-08-09,New York,-3.0,95.0,1.8
2024-08-10,New York,4.4,89.0,8.1
2024-08-11,New York,-2.7,95.0,0.0
2024-08-12,New York,0.6,93.0,1.9
2024-08-13,New York,5.1,82.0,0.0
2024-08-14,New York,1.8,93.0,0.0
2024-08-15,New York,-1.8,95.0,0.0
2024-08-16,New York,-0.9,95.0,2.7
